Java HotSpot(TM) 64-Bit Server VM (25.261-b12) for bsd-amd64 JRE (1.8.0_261-b12), built on Jun 18 2020 06:38:55 by "java_re" with gcc 4.2.1 Compatible Apple LLVM 10.0.0 (clang-1000.11.45.5)
Memory: 4k page, physical 16777216k(827860k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=536870912 -XX:MaxHeapSize=536870912 -XX:MaxNewSize=178958336 -XX:MaxTenuringThreshold=6 -XX:NewSize=178958336 -XX:OldPLABSize=16 -XX:OldSize=357912576 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:+UseParNewGC 
2020-11-19T15:07:28.107-0800: 1.035: [GC (Allocation Failure) 2020-11-19T15:07:28.107-0800: 1.036: [ParNew: 139776K->7023K(157248K), 0.0107224 secs] 139776K->7023K(506816K), 0.0109514 secs] [Times: user=0.08 sys=0.00, real=0.01 secs] 
2020-11-19T15:07:45.041-0800: 17.970: [GC (Allocation Failure) 2020-11-19T15:07:45.042-0800: 17.970: [ParNew: 140321K->462K(157248K), 0.0041642 secs] 173524K->33675K(506816K), 0.0043040 secs] [Times: user=0.04 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:45.136-0800: 18.064: [GC (Allocation Failure) 2020-11-19T15:07:45.136-0800: 18.064: [ParNew: 140238K->469K(157248K), 0.0035522 secs] 173451K->33684K(506816K), 0.0036401 secs] [Times: user=0.05 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:45.233-0800: 18.162: [GC (Allocation Failure) 2020-11-19T15:07:45.233-0800: 18.162: [ParNew: 140245K->527K(157248K), 0.0041890 secs] 173460K->33742K(506816K), 0.0043209 secs] [Times: user=0.06 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:45.332-0800: 18.260: [GC (Allocation Failure) 2020-11-19T15:07:45.332-0800: 18.260: [ParNew: 140303K->507K(157248K), 0.0038614 secs] 173518K->33722K(506816K), 0.0040335 secs] [Times: user=0.06 sys=0.01, real=0.00 secs] 
2020-11-19T15:07:45.414-0800: 18.342: [GC (Allocation Failure) 2020-11-19T15:07:45.414-0800: 18.342: [ParNew: 140283K->504K(157248K), 0.0035955 secs] 173498K->33721K(506816K), 0.0037021 secs] [Times: user=0.05 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:45.503-0800: 18.431: [GC (Allocation Failure) 2020-11-19T15:07:45.503-0800: 18.432: [ParNew: 140280K->535K(157248K), 0.0038411 secs] 173497K->33752K(506816K), 0.0039734 secs] [Times: user=0.06 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:45.601-0800: 18.530: [GC (Allocation Failure) 2020-11-19T15:07:45.601-0800: 18.530: [ParNew: 140311K->462K(157248K), 0.0035437 secs] 173528K->33681K(506816K), 0.0036574 secs] [Times: user=0.04 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:45.693-0800: 18.621: [GC (Allocation Failure) 2020-11-19T15:07:45.693-0800: 18.621: [ParNew: 140238K->488K(157248K), 0.0030428 secs] 173457K->33706K(506816K), 0.0031464 secs] [Times: user=0.04 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:45.770-0800: 18.698: [GC (Allocation Failure) 2020-11-19T15:07:45.770-0800: 18.698: [ParNew: 140264K->529K(157248K), 0.0036810 secs] 173482K->33747K(506816K), 0.0038357 secs] [Times: user=0.05 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:45.851-0800: 18.780: [GC (Allocation Failure) 2020-11-19T15:07:45.851-0800: 18.780: [ParNew: 140305K->524K(157248K), 0.0030611 secs] 173523K->33742K(506816K), 0.0031516 secs] [Times: user=0.05 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:45.927-0800: 18.856: [GC (Allocation Failure) 2020-11-19T15:07:45.927-0800: 18.856: [ParNew: 140300K->527K(157248K), 0.0032750 secs] 173518K->33746K(506816K), 0.0034044 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2020-11-19T15:07:46.024-0800: 18.953: [GC (Allocation Failure) 2020-11-19T15:07:46.024-0800: 18.953: [ParNew: 140303K->442K(157248K), 0.0036018 secs] 173522K->33661K(506816K), 0.0038234 secs] [Times: user=0.05 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:46.109-0800: 19.037: [GC (Allocation Failure) 2020-11-19T15:07:46.109-0800: 19.038: [ParNew: 140218K->460K(157248K), 0.0031712 secs] 173437K->33680K(506816K), 0.0033403 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2020-11-19T15:07:46.198-0800: 19.127: [GC (Allocation Failure) 2020-11-19T15:07:46.198-0800: 19.127: [ParNew: 140236K->369K(157248K), 0.0032908 secs] 173456K->33589K(506816K), 0.0033968 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2020-11-19T15:07:46.281-0800: 19.210: [GC (Allocation Failure) 2020-11-19T15:07:46.281-0800: 19.210: [ParNew: 140145K->489K(157248K), 0.0037492 secs] 173365K->33709K(506816K), 0.0038624 secs] [Times: user=0.05 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:46.361-0800: 19.289: [GC (Allocation Failure) 2020-11-19T15:07:46.361-0800: 19.289: [ParNew: 140265K->481K(157248K), 0.0030327 secs] 173485K->33701K(506816K), 0.0031223 secs] [Times: user=0.05 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:46.443-0800: 19.371: [GC (Allocation Failure) 2020-11-19T15:07:46.443-0800: 19.371: [ParNew: 140257K->560K(157248K), 0.0035931 secs] 173477K->33781K(506816K), 0.0037022 secs] [Times: user=0.05 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:46.518-0800: 19.446: [GC (Allocation Failure) 2020-11-19T15:07:46.518-0800: 19.446: [ParNew: 140336K->510K(157248K), 0.0033216 secs] 173557K->33731K(506816K), 0.0034431 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2020-11-19T15:07:46.600-0800: 19.528: [GC (Allocation Failure) 2020-11-19T15:07:46.600-0800: 19.528: [ParNew: 140286K->536K(157248K), 0.0032386 secs] 173507K->33757K(506816K), 0.0033522 secs] [Times: user=0.05 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:46.677-0800: 19.605: [GC (Allocation Failure) 2020-11-19T15:07:46.677-0800: 19.605: [ParNew: 140312K->493K(157248K), 0.0030040 secs] 173533K->33714K(506816K), 0.0031342 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2020-11-19T15:07:46.763-0800: 19.691: [GC (Allocation Failure) 2020-11-19T15:07:46.763-0800: 19.691: [ParNew: 140269K->506K(157248K), 0.0031545 secs] 173490K->33728K(506816K), 0.0032762 secs] [Times: user=0.04 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:46.851-0800: 19.780: [GC (Allocation Failure) 2020-11-19T15:07:46.851-0800: 19.780: [ParNew: 140282K->342K(157248K), 0.0033047 secs] 173504K->33564K(506816K), 0.0033978 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:46.937-0800: 19.865: [GC (Allocation Failure) 2020-11-19T15:07:46.937-0800: 19.865: [ParNew: 140118K->498K(157248K), 0.0032112 secs] 173340K->33720K(506816K), 0.0033379 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2020-11-19T15:07:47.023-0800: 19.951: [GC (Allocation Failure) 2020-11-19T15:07:47.023-0800: 19.951: [ParNew: 140274K->493K(157248K), 0.0031491 secs] 173496K->33716K(506816K), 0.0032420 secs] [Times: user=0.04 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:47.101-0800: 20.029: [GC (Allocation Failure) 2020-11-19T15:07:47.101-0800: 20.029: [ParNew: 140269K->504K(157248K), 0.0032879 secs] 173492K->33727K(506816K), 0.0034168 secs] [Times: user=0.05 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:47.190-0800: 20.118: [GC (Allocation Failure) 2020-11-19T15:07:47.190-0800: 20.118: [ParNew: 140280K->515K(157248K), 0.0030832 secs] 173503K->33739K(506816K), 0.0032406 secs] [Times: user=0.04 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:47.274-0800: 20.203: [GC (Allocation Failure) 2020-11-19T15:07:47.274-0800: 20.203: [ParNew: 140291K->519K(157248K), 0.0034097 secs] 173515K->33743K(506816K), 0.0035229 secs] [Times: user=0.05 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:47.349-0800: 20.277: [GC (Allocation Failure) 2020-11-19T15:07:47.349-0800: 20.277: [ParNew: 140288K->488K(157248K), 0.0035436 secs] 173512K->33711K(506816K), 0.0037244 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2020-11-19T15:07:47.439-0800: 20.367: [GC (Allocation Failure) 2020-11-19T15:07:47.439-0800: 20.367: [ParNew: 140264K->453K(157248K), 0.0037166 secs] 173487K->33678K(506816K), 0.0038724 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2020-11-19T15:07:47.517-0800: 20.445: [GC (Allocation Failure) 2020-11-19T15:07:47.517-0800: 20.446: [ParNew: 140229K->485K(157248K), 0.0031067 secs] 173454K->33710K(506816K), 0.0032554 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2020-11-19T15:07:47.602-0800: 20.531: [GC (Allocation Failure) 2020-11-19T15:07:47.602-0800: 20.531: [ParNew: 140261K->520K(157248K), 0.0033998 secs] 173486K->33745K(506816K), 0.0035384 secs] [Times: user=0.05 sys=0.01, real=0.00 secs] 
2020-11-19T15:07:47.677-0800: 20.606: [GC (Allocation Failure) 2020-11-19T15:07:47.678-0800: 20.606: [ParNew: 140296K->504K(157248K), 0.0033542 secs] 173521K->33729K(506816K), 0.0034725 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2020-11-19T15:07:47.761-0800: 20.689: [GC (Allocation Failure) 2020-11-19T15:07:47.761-0800: 20.690: [ParNew: 140280K->515K(157248K), 0.0030915 secs] 173505K->33740K(506816K), 0.0032280 secs] [Times: user=0.05 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:47.843-0800: 20.771: [GC (Allocation Failure) 2020-11-19T15:07:47.843-0800: 20.771: [ParNew: 140291K->503K(157248K), 0.0032065 secs] 173516K->33729K(506816K), 0.0033485 secs] [Times: user=0.04 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:47.922-0800: 20.850: [GC (Allocation Failure) 2020-11-19T15:07:47.922-0800: 20.850: [ParNew: 140279K->537K(157248K), 0.0032171 secs] 173505K->33763K(506816K), 0.0033557 secs] [Times: user=0.04 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:48.012-0800: 20.940: [GC (Allocation Failure) 2020-11-19T15:07:48.012-0800: 20.940: [ParNew: 140313K->545K(157248K), 0.0034027 secs] 173539K->33771K(506816K), 0.0035623 secs] [Times: user=0.04 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:48.110-0800: 21.038: [GC (Allocation Failure) 2020-11-19T15:07:48.110-0800: 21.038: [ParNew: 140321K->516K(157248K), 0.0037441 secs] 173547K->33742K(506816K), 0.0039120 secs] [Times: user=0.04 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:48.189-0800: 21.117: [GC (Allocation Failure) 2020-11-19T15:07:48.189-0800: 21.117: [ParNew: 140292K->450K(157248K), 0.0035827 secs] 173518K->33676K(506816K), 0.0037628 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2020-11-19T15:07:48.278-0800: 21.206: [GC (Allocation Failure) 2020-11-19T15:07:48.278-0800: 21.206: [ParNew: 140226K->530K(157248K), 0.0033348 secs] 173452K->33757K(506816K), 0.0034673 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2020-11-19T15:07:48.357-0800: 21.285: [GC (Allocation Failure) 2020-11-19T15:07:48.357-0800: 21.285: [ParNew: 140306K->500K(157248K), 0.0032950 secs] 173533K->33727K(506816K), 0.0034246 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2020-11-19T15:07:48.437-0800: 21.366: [GC (Allocation Failure) 2020-11-19T15:07:48.438-0800: 21.366: [ParNew: 140276K->507K(157248K), 0.0031446 secs] 173503K->33734K(506816K), 0.0032716 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2020-11-19T15:07:48.519-0800: 21.448: [GC (Allocation Failure) 2020-11-19T15:07:48.520-0800: 21.448: [ParNew: 140283K->485K(157248K), 0.0031977 secs] 173510K->33712K(506816K), 0.0033162 secs] [Times: user=0.04 sys=0.01, real=0.01 secs] 
2020-11-19T15:07:48.605-0800: 21.533: [GC (Allocation Failure) 2020-11-19T15:07:48.605-0800: 21.533: [ParNew: 140261K->561K(157248K), 0.0035232 secs] 173488K->33788K(506816K), 0.0036743 secs] [Times: user=0.04 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:48.691-0800: 21.619: [GC (Allocation Failure) 2020-11-19T15:07:48.691-0800: 21.619: [ParNew: 140337K->503K(157248K), 0.0032132 secs] 173564K->33730K(506816K), 0.0033558 secs] [Times: user=0.04 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:48.773-0800: 21.701: [GC (Allocation Failure) 2020-11-19T15:07:48.773-0800: 21.701: [ParNew: 140279K->499K(157248K), 0.0030039 secs] 173506K->33726K(506816K), 0.0031283 secs] [Times: user=0.04 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:48.849-0800: 21.777: [GC (Allocation Failure) 2020-11-19T15:07:48.849-0800: 21.777: [ParNew: 140275K->465K(157248K), 0.0031068 secs] 173502K->33692K(506816K), 0.0032275 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2020-11-19T15:07:48.917-0800: 21.845: [GC (Allocation Failure) 2020-11-19T15:07:48.917-0800: 21.845: [ParNew: 140241K->504K(157248K), 0.0033296 secs] 173468K->33732K(506816K), 0.0034524 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2020-11-19T15:07:48.985-0800: 21.913: [GC (Allocation Failure) 2020-11-19T15:07:48.985-0800: 21.913: [ParNew: 140280K->475K(157248K), 0.0033291 secs] 173508K->33703K(506816K), 0.0034645 secs] [Times: user=0.04 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:49.067-0800: 21.995: [GC (Allocation Failure) 2020-11-19T15:07:49.067-0800: 21.995: [ParNew: 140251K->474K(157248K), 0.0034062 secs] 173479K->33703K(506816K), 0.0035387 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2020-11-19T15:07:49.132-0800: 22.060: [GC (Allocation Failure) 2020-11-19T15:07:49.132-0800: 22.060: [ParNew: 140250K->513K(157248K), 0.0035536 secs] 173479K->33742K(506816K), 0.0037022 secs] [Times: user=0.04 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:49.194-0800: 22.122: [GC (Allocation Failure) 2020-11-19T15:07:49.194-0800: 22.123: [ParNew: 140289K->469K(157248K), 0.0032788 secs] 173518K->33698K(506816K), 0.0033812 secs] [Times: user=0.04 sys=0.01, real=0.00 secs] 
2020-11-19T15:07:49.265-0800: 22.193: [GC (Allocation Failure) 2020-11-19T15:07:49.265-0800: 22.194: [ParNew: 140245K->515K(157248K), 0.0030859 secs] 173474K->33744K(506816K), 0.0032179 secs] [Times: user=0.03 sys=0.01, real=0.00 secs] 
2020-11-19T15:07:49.339-0800: 22.267: [GC (Allocation Failure) 2020-11-19T15:07:49.339-0800: 22.267: [ParNew: 140291K->492K(157248K), 0.0026534 secs] 173520K->33722K(506816K), 0.0027387 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2020-11-19T15:07:49.413-0800: 22.341: [GC (Allocation Failure) 2020-11-19T15:07:49.413-0800: 22.341: [ParNew: 140268K->486K(157248K), 0.0030820 secs] 173498K->33716K(506816K), 0.0031645 secs] [Times: user=0.04 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:49.484-0800: 22.412: [GC (Allocation Failure) 2020-11-19T15:07:49.484-0800: 22.412: [ParNew: 140262K->457K(157248K), 0.0026920 secs] 173492K->33687K(506816K), 0.0027730 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:49.562-0800: 22.490: [GC (Allocation Failure) 2020-11-19T15:07:49.562-0800: 22.490: [ParNew: 140233K->492K(157248K), 0.0029396 secs] 173463K->33722K(506816K), 0.0030185 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:49.635-0800: 22.563: [GC (Allocation Failure) 2020-11-19T15:07:49.635-0800: 22.563: [ParNew: 140268K->491K(157248K), 0.0024627 secs] 173498K->33721K(506816K), 0.0025470 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:49.705-0800: 22.633: [GC (Allocation Failure) 2020-11-19T15:07:49.705-0800: 22.633: [ParNew: 140267K->576K(157248K), 0.0030033 secs] 173497K->33806K(506816K), 0.0030823 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:49.787-0800: 22.716: [GC (Allocation Failure) 2020-11-19T15:07:49.787-0800: 22.716: [ParNew: 140352K->530K(157248K), 0.0032348 secs] 173582K->33760K(506816K), 0.0033181 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2020-11-19T15:07:49.864-0800: 22.792: [GC (Allocation Failure) 2020-11-19T15:07:49.864-0800: 22.792: [ParNew: 140306K->445K(157248K), 0.0029055 secs] 173536K->33675K(506816K), 0.0030338 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:49.933-0800: 22.861: [GC (Allocation Failure) 2020-11-19T15:07:49.933-0800: 22.861: [ParNew: 140221K->489K(157248K), 0.0029888 secs] 173451K->33719K(506816K), 0.0030753 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:49.999-0800: 22.927: [GC (Allocation Failure) 2020-11-19T15:07:49.999-0800: 22.927: [ParNew: 140265K->483K(157248K), 0.0032297 secs] 173495K->33713K(506816K), 0.0033272 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2020-11-19T15:07:50.106-0800: 23.034: [GC (Allocation Failure) 2020-11-19T15:07:50.106-0800: 23.034: [ParNew: 140259K->532K(157248K), 0.0031944 secs] 173489K->33762K(506816K), 0.0033376 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2020-11-19T15:07:50.179-0800: 23.108: [GC (Allocation Failure) 2020-11-19T15:07:50.179-0800: 23.108: [ParNew: 140308K->505K(157248K), 0.0024981 secs] 173538K->33736K(506816K), 0.0025861 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2020-11-19T15:07:50.242-0800: 23.170: [GC (Allocation Failure) 2020-11-19T15:07:50.242-0800: 23.171: [ParNew: 140281K->488K(157248K), 0.0029237 secs] 173512K->33719K(506816K), 0.0030357 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
