Java HotSpot(TM) 64-Bit Server VM (25.261-b12) for bsd-amd64 JRE (1.8.0_261-b12), built on Jun 18 2020 06:38:55 by "java_re" with gcc 4.2.1 Compatible Apple LLVM 10.0.0 (clang-1000.11.45.5)
Memory: 4k page, physical 16777216k(1855996k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=4294967296 -XX:MaxHeapSize=4294967296 -XX:MaxNewSize=1134141440 -XX:MaxTenuringThreshold=6 -XX:NewSize=1134141440 -XX:OldPLABSize=16 -XX:OldSize=2268282880 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:+UseParNewGC 
2020-11-19T17:12:43.462-0800: 16.242: [GC (CMS Initial Mark) [1 CMS-initial-mark: 0K(3086784K)] 318998K(4083584K), 0.0221624 secs] [Times: user=0.09 sys=0.00, real=0.02 secs] 
2020-11-19T17:12:43.484-0800: 16.264: [CMS-concurrent-mark-start]
2020-11-19T17:12:43.485-0800: 16.265: [CMS-concurrent-mark: 0.000/0.000 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-11-19T17:12:43.485-0800: 16.265: [CMS-concurrent-preclean-start]
2020-11-19T17:12:43.488-0800: 16.268: [CMS-concurrent-preclean: 0.003/0.003 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-11-19T17:12:43.488-0800: 16.268: [CMS-concurrent-abortable-preclean-start]
 CMS: abort preclean due to time 2020-11-19T17:12:48.547-0800: 21.323: [CMS-concurrent-abortable-preclean: 0.343/5.055 secs] [Times: user=3.27 sys=0.19, real=5.06 secs] 
2020-11-19T17:12:48.547-0800: 21.323: [GC (CMS Final Remark) [YG occupancy: 584834 K (996800 K)]2020-11-19T17:12:48.547-0800: 21.323: [Rescan (parallel) , 0.0310062 secs]2020-11-19T17:12:48.578-0800: 21.354: [weak refs processing, 0.0000370 secs]2020-11-19T17:12:48.578-0800: 21.354: [class unloading, 0.0039978 secs]2020-11-19T17:12:48.582-0800: 21.358: [scrub symbol table, 0.0025698 secs]2020-11-19T17:12:48.585-0800: 21.361: [scrub string table, 0.0003499 secs][1 CMS-remark: 0K(3086784K)] 584834K(4083584K), 0.0390223 secs] [Times: user=0.40 sys=0.00, real=0.04 secs] 
2020-11-19T17:12:48.586-0800: 21.362: [CMS-concurrent-sweep-start]
2020-11-19T17:12:48.586-0800: 21.362: [CMS-concurrent-sweep: 0.000/0.000 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-11-19T17:12:48.586-0800: 21.362: [CMS-concurrent-reset-start]
2020-11-19T17:12:48.610-0800: 21.386: [CMS-concurrent-reset: 0.024/0.024 secs] [Times: user=0.02 sys=0.01, real=0.03 secs] 
2020-11-19T17:13:12.843-0800: 45.611: [GC (Allocation Failure) 2020-11-19T17:13:12.843-0800: 45.611: [ParNew: 886080K->18008K(996800K), 0.0337598 secs] 886080K->18008K(4083584K), 0.0338844 secs] [Times: user=0.20 sys=0.01, real=0.03 secs] 
2020-11-19T17:13:19.657-0800: 52.424: [GC (Allocation Failure) 2020-11-19T17:13:19.657-0800: 52.424: [ParNew: 887100K->1028K(996800K), 0.0055063 secs] 919722K->33668K(4083584K), 0.0056257 secs] [Times: user=0.07 sys=0.01, real=0.01 secs] 
2020-11-19T17:13:20.094-0800: 52.861: [GC (Allocation Failure) 2020-11-19T17:13:20.094-0800: 52.861: [ParNew: 887108K->997K(996800K), 0.0060741 secs] 919748K->33666K(4083584K), 0.0062749 secs] [Times: user=0.07 sys=0.01, real=0.01 secs] 
2020-11-19T17:13:20.512-0800: 53.280: [GC (Allocation Failure) 2020-11-19T17:13:20.512-0800: 53.280: [ParNew: 887077K->753K(996800K), 0.0052454 secs] 919746K->33706K(4083584K), 0.0053791 secs] [Times: user=0.06 sys=0.00, real=0.00 secs] 
2020-11-19T17:13:20.920-0800: 53.687: [GC (Allocation Failure) 2020-11-19T17:13:20.920-0800: 53.687: [ParNew: 886833K->525K(996800K), 0.0048393 secs] 919786K->33479K(4083584K), 0.0049602 secs] [Times: user=0.06 sys=0.00, real=0.00 secs] 
2020-11-19T17:13:21.347-0800: 54.114: [GC (Allocation Failure) 2020-11-19T17:13:21.347-0800: 54.115: [ParNew: 886605K->550K(996800K), 0.0050766 secs] 919559K->33505K(4083584K), 0.0052707 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-11-19T17:13:21.765-0800: 54.532: [GC (Allocation Failure) 2020-11-19T17:13:21.765-0800: 54.532: [ParNew: 886630K->599K(996800K), 0.0050935 secs] 919585K->33554K(4083584K), 0.0052041 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-11-19T17:13:22.190-0800: 54.957: [GC (Allocation Failure) 2020-11-19T17:13:22.190-0800: 54.957: [ParNew: 886679K->581K(996800K), 0.0048654 secs] 919634K->33537K(4083584K), 0.0050234 secs] [Times: user=0.06 sys=0.00, real=0.00 secs] 
2020-11-19T17:13:22.622-0800: 55.389: [GC (Allocation Failure) 2020-11-19T17:13:22.622-0800: 55.389: [ParNew: 886661K->556K(996800K), 0.0043911 secs] 919617K->33514K(4083584K), 0.0045033 secs] [Times: user=0.05 sys=0.01, real=0.00 secs] 
2020-11-19T17:13:23.036-0800: 55.803: [GC (Allocation Failure) 2020-11-19T17:13:23.036-0800: 55.803: [ParNew: 886636K->556K(996800K), 0.0051581 secs] 919594K->33514K(4083584K), 0.0053028 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-11-19T17:13:23.470-0800: 56.237: [GC (Allocation Failure) 2020-11-19T17:13:23.470-0800: 56.237: [ParNew: 886636K->558K(996800K), 0.0053020 secs] 919594K->33516K(4083584K), 0.0054081 secs] [Times: user=0.06 sys=0.00, real=0.00 secs] 
2020-11-19T17:13:23.891-0800: 56.658: [GC (Allocation Failure) 2020-11-19T17:13:23.891-0800: 56.658: [ParNew: 886638K->510K(996800K), 0.0045325 secs] 919596K->33468K(4083584K), 0.0047647 secs] [Times: user=0.04 sys=0.00, real=0.00 secs] 
2020-11-19T17:13:24.321-0800: 57.088: [GC (Allocation Failure) 2020-11-19T17:13:24.321-0800: 57.088: [ParNew: 886590K->591K(996800K), 0.0047036 secs] 919548K->33549K(4083584K), 0.0048204 secs] [Times: user=0.06 sys=0.00, real=0.00 secs] 
2020-11-19T17:13:24.722-0800: 57.489: [GC (Allocation Failure) 2020-11-19T17:13:24.722-0800: 57.489: [ParNew: 886671K->575K(996800K), 0.0047206 secs] 919629K->33533K(4083584K), 0.0048530 secs] [Times: user=0.06 sys=0.00, real=0.00 secs] 
2020-11-19T17:13:25.139-0800: 57.906: [GC (Allocation Failure) 2020-11-19T17:13:25.140-0800: 57.906: [ParNew: 886655K->558K(996800K), 0.0046963 secs] 919613K->33516K(4083584K), 0.0048255 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-11-19T17:13:25.553-0800: 58.319: [GC (Allocation Failure) 2020-11-19T17:13:25.553-0800: 58.319: [ParNew: 886638K->493K(996800K), 0.0046435 secs] 919596K->33451K(4083584K), 0.0047573 secs] [Times: user=0.05 sys=0.00, real=0.00 secs] 
2020-11-19T17:13:25.959-0800: 58.726: [GC (Allocation Failure) 2020-11-19T17:13:25.959-0800: 58.726: [ParNew: 886573K->530K(996800K), 0.0048627 secs] 919531K->33490K(4083584K), 0.0049967 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-11-19T17:13:26.403-0800: 59.170: [GC (Allocation Failure) 2020-11-19T17:13:26.403-0800: 59.170: [ParNew: 886610K->449K(996800K), 0.0043154 secs] 919570K->33410K(4083584K), 0.0044536 secs] [Times: user=0.05 sys=0.00, real=0.00 secs] 
2020-11-19T17:13:26.834-0800: 59.601: [GC (Allocation Failure) 2020-11-19T17:13:26.834-0800: 59.601: [ParNew: 886529K->593K(996800K), 0.0038636 secs] 919490K->33554K(4083584K), 0.0039808 secs] [Times: user=0.05 sys=0.00, real=0.00 secs] 
2020-11-19T17:13:27.259-0800: 60.026: [GC (Allocation Failure) 2020-11-19T17:13:27.259-0800: 60.026: [ParNew: 886673K->568K(996800K), 0.0048806 secs] 919634K->33529K(4083584K), 0.0050102 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-11-19T17:13:27.660-0800: 60.427: [GC (Allocation Failure) 2020-11-19T17:13:27.660-0800: 60.427: [ParNew: 886648K->540K(996800K), 0.0047455 secs] 919609K->33501K(4083584K), 0.0048645 secs] [Times: user=0.05 sys=0.00, real=0.00 secs] 
2020-11-19T17:13:28.086-0800: 60.853: [GC (Allocation Failure) 2020-11-19T17:13:28.086-0800: 60.853: [ParNew: 886620K->561K(996800K), 0.0048074 secs] 919581K->33524K(4083584K), 0.0049240 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2020-11-19T17:13:28.526-0800: 61.292: [GC (Allocation Failure) 2020-11-19T17:13:28.526-0800: 61.292: [ParNew: 886635K->522K(996800K), 0.0049187 secs] 919598K->33485K(4083584K), 0.0050484 secs] [Times: user=0.06 sys=0.01, real=0.01 secs] 
2020-11-19T17:13:28.934-0800: 61.701: [GC (Allocation Failure) 2020-11-19T17:13:28.934-0800: 61.701: [ParNew: 886602K->531K(996800K), 0.0048239 secs] 919565K->33494K(4083584K), 0.0049443 secs] [Times: user=0.05 sys=0.00, real=0.00 secs] 
2020-11-19T17:13:29.364-0800: 62.131: [GC (Allocation Failure) 2020-11-19T17:13:29.364-0800: 62.131: [ParNew: 886611K->581K(996800K), 0.0048466 secs] 919574K->33544K(4083584K), 0.0049815 secs] [Times: user=0.05 sys=0.00, real=0.00 secs] 
2020-11-19T17:13:29.780-0800: 62.546: [GC (Allocation Failure) 2020-11-19T17:13:29.780-0800: 62.546: [ParNew: 886661K->551K(996800K), 0.0056151 secs] 919624K->33514K(4083584K), 0.0057898 secs] [Times: user=0.06 sys=0.00, real=0.00 secs] 
2020-11-19T17:13:30.209-0800: 62.976: [GC (Allocation Failure) 2020-11-19T17:13:30.209-0800: 62.976: [ParNew: 886631K->541K(996800K), 0.0049519 secs] 919594K->33504K(4083584K), 0.0051055 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2020-11-19T17:13:30.610-0800: 63.376: [GC (Allocation Failure) 2020-11-19T17:13:30.610-0800: 63.376: [ParNew: 886621K->498K(996800K), 0.0043955 secs] 919584K->33461K(4083584K), 0.0045192 secs] [Times: user=0.05 sys=0.00, real=0.00 secs] 
2020-11-19T17:13:31.036-0800: 63.802: [GC (Allocation Failure) 2020-11-19T17:13:31.036-0800: 63.802: [ParNew: 886578K->510K(996800K), 0.0047389 secs] 919541K->33473K(4083584K), 0.0048508 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2020-11-19T17:13:49.007-0800: 81.773: [GC (Allocation Failure) 2020-11-19T17:13:49.007-0800: 81.773: [ParNew: 886590K->380K(996800K), 0.0043906 secs] 919553K->33343K(4083584K), 0.0045167 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2020-11-19T17:13:50.993-0800: 83.759: [GC (Allocation Failure) 2020-11-19T17:13:50.993-0800: 83.759: [ParNew: 886460K->467K(996800K), 0.0045700 secs] 919423K->33431K(4083584K), 0.0046870 secs] [Times: user=0.05 sys=0.00, real=0.00 secs] 
2020-11-19T17:13:51.414-0800: 84.179: [GC (Allocation Failure) 2020-11-19T17:13:51.414-0800: 84.179: [ParNew: 886547K->570K(996800K), 0.0046041 secs] 919511K->33535K(4083584K), 0.0047076 secs] [Times: user=0.05 sys=0.00, real=0.00 secs] 
2020-11-19T17:13:51.843-0800: 84.609: [GC (Allocation Failure) 2020-11-19T17:13:51.843-0800: 84.609: [ParNew: 886650K->557K(996800K), 0.0045071 secs] 919615K->33522K(4083584K), 0.0046035 secs] [Times: user=0.05 sys=0.00, real=0.00 secs] 
2020-11-19T17:13:52.714-0800: 85.479: [GC (Allocation Failure) 2020-11-19T17:13:52.714-0800: 85.479: [ParNew: 886637K->621K(996800K), 0.0043156 secs] 919602K->33586K(4083584K), 0.0044344 secs] [Times: user=0.05 sys=0.00, real=0.00 secs] 
2020-11-19T17:13:53.123-0800: 85.889: [GC (Allocation Failure) 2020-11-19T17:13:53.124-0800: 85.889: [ParNew: 886701K->517K(996800K), 0.0047495 secs] 919666K->33482K(4083584K), 0.0048502 secs] [Times: user=0.06 sys=0.00, real=0.00 secs] 
2020-11-19T17:13:53.523-0800: 86.289: [GC (Allocation Failure) 2020-11-19T17:13:53.523-0800: 86.289: [ParNew: 886597K->547K(996800K), 0.0044953 secs] 919562K->33514K(4083584K), 0.0046502 secs] [Times: user=0.05 sys=0.00, real=0.00 secs] 
2020-11-19T17:13:53.931-0800: 86.696: [GC (Allocation Failure) 2020-11-19T17:13:53.931-0800: 86.696: [ParNew: 886627K->545K(996800K), 0.0039303 secs] 919594K->33512K(4083584K), 0.0040421 secs] [Times: user=0.04 sys=0.01, real=0.00 secs] 
2020-11-19T17:13:55.300-0800: 88.066: [GC (Allocation Failure) 2020-11-19T17:13:55.300-0800: 88.066: [ParNew: 886625K->516K(996800K), 0.0045645 secs] 919592K->33483K(4083584K), 0.0046838 secs] [Times: user=0.05 sys=0.00, real=0.00 secs] 
2020-11-19T17:13:55.724-0800: 88.489: [GC (Allocation Failure) 2020-11-19T17:13:55.724-0800: 88.489: [ParNew: 886596K->570K(996800K), 0.0038178 secs] 919563K->33537K(4083584K), 0.0039377 secs] [Times: user=0.04 sys=0.00, real=0.00 secs] 
2020-11-19T17:13:56.140-0800: 88.905: [GC (Allocation Failure) 2020-11-19T17:13:56.140-0800: 88.905: [ParNew: 886650K->541K(996800K), 0.0040468 secs] 919617K->33509K(4083584K), 0.0041537 secs] [Times: user=0.04 sys=0.00, real=0.00 secs] 
2020-11-19T17:13:57.049-0800: 89.814: [GC (Allocation Failure) 2020-11-19T17:13:57.049-0800: 89.814: [ParNew: 886621K->529K(996800K), 0.0045373 secs] 919589K->33496K(4083584K), 0.0046459 secs] [Times: user=0.05 sys=0.01, real=0.01 secs] 
2020-11-19T17:13:57.476-0800: 90.242: [GC (Allocation Failure) 2020-11-19T17:13:57.476-0800: 90.242: [ParNew: 886609K->515K(996800K), 0.0044407 secs] 919576K->33483K(4083584K), 0.0045969 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2020-11-19T17:13:58.358-0800: 91.123: [GC (Allocation Failure) 2020-11-19T17:13:58.358-0800: 91.123: [ParNew: 886595K->600K(996800K), 0.0039959 secs] 919563K->33568K(4083584K), 0.0041317 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2020-11-19T17:13:58.776-0800: 91.542: [GC (Allocation Failure) 2020-11-19T17:13:58.776-0800: 91.542: [ParNew: 886680K->533K(996800K), 0.0040915 secs] 919648K->33501K(4083584K), 0.0042719 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2020-11-19T17:13:59.201-0800: 91.966: [GC (Allocation Failure) 2020-11-19T17:13:59.201-0800: 91.966: [ParNew: 886613K->542K(996800K), 0.0044351 secs] 919581K->33511K(4083584K), 0.0046087 secs] [Times: user=0.05 sys=0.00, real=0.00 secs] 
2020-11-19T17:14:00.065-0800: 92.830: [GC (Allocation Failure) 2020-11-19T17:14:00.065-0800: 92.831: [ParNew: 886622K->514K(996800K), 0.0052136 secs] 919591K->33482K(4083584K), 0.0053493 secs] [Times: user=0.05 sys=0.01, real=0.01 secs] 
2020-11-19T17:14:00.498-0800: 93.263: [GC (Allocation Failure) 2020-11-19T17:14:00.498-0800: 93.263: [ParNew: 886594K->490K(996800K), 0.0038130 secs] 919562K->33458K(4083584K), 0.0039270 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2020-11-19T17:14:01.391-0800: 94.156: [GC (Allocation Failure) 2020-11-19T17:14:01.391-0800: 94.156: [ParNew: 886570K->548K(996800K), 0.0042795 secs] 919538K->33516K(4083584K), 0.0044652 secs] [Times: user=0.04 sys=0.00, real=0.00 secs] 
2020-11-19T17:14:01.816-0800: 94.581: [GC (Allocation Failure) 2020-11-19T17:14:01.816-0800: 94.581: [ParNew: 886628K->570K(996800K), 0.0046943 secs] 919596K->33538K(4083584K), 0.0047957 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2020-11-19T17:14:02.506-0800: 95.271: [GC (Allocation Failure) 2020-11-19T17:14:02.506-0800: 95.271: [ParNew: 886650K->573K(996800K), 0.0050866 secs] 919618K->33542K(4083584K), 0.0051957 secs] [Times: user=0.06 sys=0.01, real=0.01 secs] 
2020-11-19T17:14:02.923-0800: 95.688: [GC (Allocation Failure) 2020-11-19T17:14:02.923-0800: 95.688: [ParNew: 886653K->523K(996800K), 0.0046402 secs] 919622K->33492K(4083584K), 0.0047564 secs] [Times: user=0.06 sys=0.00, real=0.00 secs] 
2020-11-19T17:14:03.330-0800: 96.095: [GC (Allocation Failure) 2020-11-19T17:14:03.330-0800: 96.095: [ParNew: 886603K->480K(996800K), 0.0046973 secs] 919572K->33449K(4083584K), 0.0048285 secs] [Times: user=0.05 sys=0.00, real=0.00 secs] 
2020-11-19T17:14:03.754-0800: 96.519: [GC (Allocation Failure) 2020-11-19T17:14:03.754-0800: 96.519: [ParNew: 886560K->523K(996800K), 0.0044845 secs] 919529K->33492K(4083584K), 0.0045879 secs] [Times: user=0.05 sys=0.00, real=0.00 secs] 
2020-11-19T17:14:04.174-0800: 96.939: [GC (Allocation Failure) 2020-11-19T17:14:04.174-0800: 96.939: [ParNew: 886603K->558K(996800K), 0.0047316 secs] 919572K->33527K(4083584K), 0.0048565 secs] [Times: user=0.05 sys=0.00, real=0.00 secs] 
2020-11-19T17:14:04.602-0800: 97.367: [GC (Allocation Failure) 2020-11-19T17:14:04.602-0800: 97.367: [ParNew: 886638K->493K(996800K), 0.0047276 secs] 919607K->33462K(4083584K), 0.0048482 secs] [Times: user=0.06 sys=0.01, real=0.00 secs] 
2020-11-19T17:14:05.027-0800: 97.792: [GC (Allocation Failure) 2020-11-19T17:14:05.027-0800: 97.792: [ParNew: 886573K->591K(996800K), 0.0047119 secs] 919542K->33560K(4083584K), 0.0048197 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2020-11-19T17:14:05.441-0800: 98.206: [GC (Allocation Failure) 2020-11-19T17:14:05.441-0800: 98.206: [ParNew: 886671K->545K(996800K), 0.0044591 secs] 919640K->33514K(4083584K), 0.0045720 secs] [Times: user=0.05 sys=0.00, real=0.00 secs] 
2020-11-19T17:14:05.834-0800: 98.599: [GC (Allocation Failure) 2020-11-19T17:14:05.834-0800: 98.599: [ParNew: 886625K->428K(996800K), 0.0045665 secs] 919594K->33397K(4083584K), 0.0046662 secs] [Times: user=0.06 sys=0.00, real=0.00 secs] 
2020-11-19T17:14:06.233-0800: 98.998: [GC (Allocation Failure) 2020-11-19T17:14:06.233-0800: 98.999: [ParNew: 886508K->486K(996800K), 0.0043884 secs] 919477K->33456K(4083584K), 0.0045149 secs] [Times: user=0.05 sys=0.00, real=0.00 secs] 
2020-11-19T17:14:06.663-0800: 99.428: [GC (Allocation Failure) 2020-11-19T17:14:06.663-0800: 99.428: [ParNew: 886566K->590K(996800K), 0.0046418 secs] 919536K->33560K(4083584K), 0.0047595 secs] [Times: user=0.05 sys=0.00, real=0.00 secs] 
2020-11-19T17:14:07.063-0800: 99.828: [GC (Allocation Failure) 2020-11-19T17:14:07.063-0800: 99.828: [ParNew: 886670K->547K(996800K), 0.0038787 secs] 919640K->33516K(4083584K), 0.0039890 secs] [Times: user=0.05 sys=0.00, real=0.00 secs] 
2020-11-19T17:14:07.460-0800: 100.225: [GC (Allocation Failure) 2020-11-19T17:14:07.460-0800: 100.225: [ParNew: 886627K->566K(996800K), 0.0046722 secs] 919596K->33536K(4083584K), 0.0047794 secs] [Times: user=0.05 sys=0.00, real=0.00 secs] 
2020-11-19T17:14:07.873-0800: 100.638: [GC (Allocation Failure) 2020-11-19T17:14:07.873-0800: 100.638: [ParNew: 886646K->504K(996800K), 0.0044223 secs] 919616K->33473K(4083584K), 0.0045449 secs] [Times: user=0.05 sys=0.00, real=0.00 secs] 
2020-11-19T17:14:08.294-0800: 101.059: [GC (Allocation Failure) 2020-11-19T17:14:08.294-0800: 101.059: [ParNew: 886584K->476K(996800K), 0.0041636 secs] 919553K->33446K(4083584K), 0.0042756 secs] [Times: user=0.04 sys=0.00, real=0.00 secs] 
2020-11-19T17:14:08.714-0800: 101.479: [GC (Allocation Failure) 2020-11-19T17:14:08.714-0800: 101.479: [ParNew: 886556K->572K(996800K), 0.0034858 secs] 919526K->33542K(4083584K), 0.0035933 secs] [Times: user=0.04 sys=0.00, real=0.00 secs] 
2020-11-19T17:14:09.120-0800: 101.885: [GC (Allocation Failure) 2020-11-19T17:14:09.120-0800: 101.885: [ParNew: 886652K->486K(996800K), 0.0043890 secs] 919622K->33456K(4083584K), 0.0045187 secs] [Times: user=0.05 sys=0.00, real=0.00 secs] 
2020-11-19T17:14:09.578-0800: 102.343: [GC (Allocation Failure) 2020-11-19T17:14:09.578-0800: 102.343: [ParNew: 886566K->519K(996800K), 0.0042767 secs] 919536K->33489K(4083584K), 0.0043887 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
Heap
 par new generation   total 996800K, used 657204K [0x00000006c0000000, 0x0000000703990000, 0x0000000703990000)
  eden space 886080K,  74% used [0x00000006c0000000, 0x00000006e814b440, 0x00000006f6150000)
  from space 110720K,   0% used [0x00000006f6150000, 0x00000006f61d1f00, 0x00000006fcd70000)
