Java HotSpot(TM) 64-Bit Server VM (25.261-b12) for bsd-amd64 JRE (1.8.0_261-b12), built on Jun 18 2020 06:38:55 by "java_re" with gcc 4.2.1 Compatible Apple LLVM 10.0.0 (clang-1000.11.45.5)
Memory: 4k page, physical 16777216k(68236k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=536870912 -XX:MaxHeapSize=536870912 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseSerialGC 
2020-11-19T14:55:47.033-0800: 1.192: [GC (Allocation Failure) 2020-11-19T14:55:47.034-0800: 1.192: [DefNew: 139776K->6963K(157248K), 0.0182587 secs] 139776K->6963K(506816K), 0.0183598 secs] [Times: user=0.05 sys=0.01, real=0.02 secs] 
2020-11-19T14:56:46.745-0800: 60.903: [GC (Allocation Failure) 2020-11-19T14:56:46.745-0800: 60.903: [DefNew: 140135K->362K(157248K), 0.0038939 secs] 178007K->38237K(506816K), 0.0040400 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2020-11-19T14:56:46.830-0800: 60.987: [GC (Allocation Failure) 2020-11-19T14:56:46.830-0800: 60.987: [DefNew: 140138K->331K(157248K), 0.0037664 secs] 178013K->38208K(506816K), 0.0039019 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2020-11-19T14:56:46.935-0800: 61.092: [GC (Allocation Failure) 2020-11-19T14:56:46.935-0800: 61.093: [DefNew: 140107K->312K(157248K), 0.0032106 secs] 177984K->38197K(506816K), 0.0033325 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2020-11-19T14:56:47.051-0800: 61.209: [GC (Allocation Failure) 2020-11-19T14:56:47.051-0800: 61.209: [DefNew: 140088K->339K(157248K), 0.0038315 secs] 177973K->38228K(506816K), 0.0039578 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2020-11-19T14:56:47.147-0800: 61.305: [GC (Allocation Failure) 2020-11-19T14:56:47.147-0800: 61.305: [DefNew: 140115K->349K(157248K), 0.0037195 secs] 178004K->38242K(506816K), 0.0038514 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2020-11-19T14:56:47.240-0800: 61.398: [GC (Allocation Failure) 2020-11-19T14:56:47.240-0800: 61.398: [DefNew: 140125K->322K(157248K), 0.0039059 secs] 178018K->38215K(506816K), 0.0040568 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2020-11-19T14:56:47.325-0800: 61.482: [GC (Allocation Failure) 2020-11-19T14:56:47.325-0800: 61.482: [DefNew: 140098K->378K(157248K), 0.0039716 secs] 177991K->38271K(506816K), 0.0041354 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2020-11-19T14:56:47.406-0800: 61.564: [GC (Allocation Failure) 2020-11-19T14:56:47.406-0800: 61.564: [DefNew: 140154K->343K(157248K), 0.0038195 secs] 178047K->38236K(506816K), 0.0039730 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2020-11-19T14:56:47.489-0800: 61.647: [GC (Allocation Failure) 2020-11-19T14:56:47.489-0800: 61.647: [DefNew: 140119K->316K(157248K), 0.0037979 secs] 178012K->38209K(506816K), 0.0039446 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2020-11-19T14:56:47.585-0800: 61.743: [GC (Allocation Failure) 2020-11-19T14:56:47.585-0800: 61.743: [DefNew: 140092K->353K(157248K), 0.0040820 secs] 177985K->38247K(506816K), 0.0042203 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2020-11-19T14:56:47.813-0800: 61.971: [GC (Allocation Failure) 2020-11-19T14:56:47.813-0800: 61.971: [DefNew: 140129K->341K(157248K), 0.0037723 secs] 178023K->38235K(506816K), 0.0039002 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2020-11-19T14:56:47.902-0800: 62.059: [GC (Allocation Failure) 2020-11-19T14:56:47.902-0800: 62.059: [DefNew: 140117K->334K(157248K), 0.0031703 secs] 178011K->38228K(506816K), 0.0033393 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-11-19T14:56:47.993-0800: 62.150: [GC (Allocation Failure) 2020-11-19T14:56:47.993-0800: 62.150: [DefNew: 140110K->357K(157248K), 0.0034487 secs] 178004K->38252K(506816K), 0.0035825 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-11-19T14:56:48.077-0800: 62.235: [GC (Allocation Failure) 2020-11-19T14:56:48.077-0800: 62.235: [DefNew: 140133K->352K(157248K), 0.0035890 secs] 178028K->38249K(506816K), 0.0038032 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2020-11-19T14:56:48.158-0800: 62.316: [GC (Allocation Failure) 2020-11-19T14:56:48.158-0800: 62.316: [DefNew: 140128K->368K(157248K), 0.0032896 secs] 178025K->38265K(506816K), 0.0034120 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2020-11-19T14:56:48.229-0800: 62.387: [GC (Allocation Failure) 2020-11-19T14:56:48.229-0800: 62.387: [DefNew: 140144K->330K(157248K), 0.0032590 secs] 178041K->38227K(506816K), 0.0033734 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2020-11-19T14:56:48.313-0800: 62.471: [GC (Allocation Failure) 2020-11-19T14:56:48.313-0800: 62.471: [DefNew: 140106K->374K(157248K), 0.0032633 secs] 178003K->38271K(506816K), 0.0033858 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2020-11-19T14:56:48.396-0800: 62.553: [GC (Allocation Failure) 2020-11-19T14:56:48.396-0800: 62.553: [DefNew: 140150K->355K(157248K), 0.0034203 secs] 178047K->38252K(506816K), 0.0035563 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2020-11-19T14:56:48.476-0800: 62.633: [GC (Allocation Failure) 2020-11-19T14:56:48.476-0800: 62.633: [DefNew: 140131K->372K(157248K), 0.0030521 secs] 178028K->38269K(506816K), 0.0031584 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2020-11-19T14:56:48.561-0800: 62.718: [GC (Allocation Failure) 2020-11-19T14:56:48.561-0800: 62.719: [DefNew: 140148K->330K(157248K), 0.0031522 secs] 178045K->38227K(506816K), 0.0032767 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2020-11-19T14:56:48.648-0800: 62.806: [GC (Allocation Failure) 2020-11-19T14:56:48.648-0800: 62.806: [DefNew: 140106K->327K(157248K), 0.0031233 secs] 178003K->38225K(506816K), 0.0032225 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2020-11-19T14:56:48.729-0800: 62.887: [GC (Allocation Failure) 2020-11-19T14:56:48.730-0800: 62.887: [DefNew: 140103K->366K(157248K), 0.0038590 secs] 178001K->38263K(506816K), 0.0039821 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2020-11-19T14:56:48.806-0800: 62.963: [GC (Allocation Failure) 2020-11-19T14:56:48.806-0800: 62.963: [DefNew: 140142K->366K(157248K), 0.0030548 secs] 178039K->38263K(506816K), 0.0031858 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-11-19T14:56:48.891-0800: 63.049: [GC (Allocation Failure) 2020-11-19T14:56:48.891-0800: 63.049: [DefNew: 140142K->350K(157248K), 0.0031407 secs] 178039K->38258K(506816K), 0.0032956 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2020-11-19T14:56:48.980-0800: 63.138: [GC (Allocation Failure) 2020-11-19T14:56:48.981-0800: 63.138: [DefNew: 140126K->362K(157248K), 0.0033134 secs] 178034K->38270K(506816K), 0.0034146 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-11-19T14:56:49.064-0800: 63.222: [GC (Allocation Failure) 2020-11-19T14:56:49.064-0800: 63.222: [DefNew: 140138K->351K(157248K), 0.0037271 secs] 178046K->38261K(506816K), 0.0038454 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2020-11-19T14:56:49.143-0800: 63.300: [GC (Allocation Failure) 2020-11-19T14:56:49.143-0800: 63.301: [DefNew: 140127K->344K(157248K), 0.0034523 secs] 178037K->38254K(506816K), 0.0035651 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2020-11-19T14:56:49.232-0800: 63.390: [GC (Allocation Failure) 2020-11-19T14:56:49.232-0800: 63.390: [DefNew: 140120K->345K(157248K), 0.0031053 secs] 178030K->38256K(506816K), 0.0032065 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-11-19T14:56:49.307-0800: 63.464: [GC (Allocation Failure) 2020-11-19T14:56:49.307-0800: 63.465: [DefNew: 140121K->344K(157248K), 0.0033995 secs] 178032K->38255K(506816K), 0.0035242 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2020-11-19T14:56:49.388-0800: 63.546: [GC (Allocation Failure) 2020-11-19T14:56:49.388-0800: 63.546: [DefNew: 140120K->326K(157248K), 0.0030265 secs] 178031K->38237K(506816K), 0.0031433 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-11-19T14:56:49.477-0800: 63.635: [GC (Allocation Failure) 2020-11-19T14:56:49.477-0800: 63.635: [DefNew: 140102K->351K(157248K), 0.0033437 secs] 178013K->38264K(506816K), 0.0034774 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2020-11-19T14:56:49.554-0800: 63.712: [GC (Allocation Failure) 2020-11-19T14:56:49.554-0800: 63.712: [DefNew: 140127K->350K(157248K), 0.0034757 secs] 178040K->38263K(506816K), 0.0036392 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2020-11-19T14:56:49.641-0800: 63.798: [GC (Allocation Failure) 2020-11-19T14:56:49.641-0800: 63.799: [DefNew: 140126K->332K(157248K), 0.0041166 secs] 178039K->38245K(506816K), 0.0042882 secs] [Times: user=0.04 sys=0.00, real=0.00 secs] 
2020-11-19T14:56:49.726-0800: 63.884: [GC (Allocation Failure) 2020-11-19T14:56:49.726-0800: 63.884: [DefNew: 140108K->353K(157248K), 0.0047417 secs] 178021K->38266K(506816K), 0.0049027 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2020-11-19T14:56:49.821-0800: 63.979: [GC (Allocation Failure) 2020-11-19T14:56:49.821-0800: 63.979: [DefNew: 140129K->325K(157248K), 0.0042376 secs] 178042K->38239K(506816K), 0.0043985 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2020-11-19T14:56:49.913-0800: 64.070: [GC (Allocation Failure) 2020-11-19T14:56:49.913-0800: 64.070: [DefNew: 140101K->364K(157248K), 0.0035559 secs] 178015K->38278K(506816K), 0.0037223 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2020-11-19T14:56:49.991-0800: 64.149: [GC (Allocation Failure) 2020-11-19T14:56:49.991-0800: 64.149: [DefNew: 140140K->329K(157248K), 0.0035105 secs] 178054K->38246K(506816K), 0.0036584 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2020-11-19T14:56:50.090-0800: 64.248: [GC (Allocation Failure) 2020-11-19T14:56:50.090-0800: 64.248: [DefNew: 140105K->336K(157248K), 0.0034045 secs] 178022K->38252K(506816K), 0.0035349 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2020-11-19T14:56:50.172-0800: 64.330: [GC (Allocation Failure) 2020-11-19T14:56:50.172-0800: 64.330: [DefNew: 140112K->324K(157248K), 0.0039883 secs] 178028K->38240K(506816K), 0.0041597 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2020-11-19T14:56:50.257-0800: 64.414: [GC (Allocation Failure) 2020-11-19T14:56:50.257-0800: 64.414: [DefNew: 140100K->340K(157248K), 0.0035076 secs] 178016K->38256K(506816K), 0.0037025 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2020-11-19T14:56:50.341-0800: 64.499: [GC (Allocation Failure) 2020-11-19T14:56:50.342-0800: 64.499: [DefNew: 140116K->362K(157248K), 0.0030797 secs] 178032K->38278K(506816K), 0.0031915 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2020-11-19T14:56:50.419-0800: 64.576: [GC (Allocation Failure) 2020-11-19T14:56:50.419-0800: 64.576: [DefNew: 140138K->331K(157248K), 0.0033886 secs] 178054K->38248K(506816K), 0.0035379 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2020-11-19T14:56:50.514-0800: 64.672: [GC (Allocation Failure) 2020-11-19T14:56:50.514-0800: 64.672: [DefNew: 140107K->341K(157248K), 0.0033175 secs] 178024K->38257K(506816K), 0.0034456 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2020-11-19T14:56:50.601-0800: 64.758: [GC (Allocation Failure) 2020-11-19T14:56:50.601-0800: 64.759: [DefNew: 140117K->352K(157248K), 0.0035541 secs] 178033K->38268K(506816K), 0.0037139 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2020-11-19T14:56:50.694-0800: 64.852: [GC (Allocation Failure) 2020-11-19T14:56:50.694-0800: 64.852: [DefNew: 140128K->342K(157248K), 0.0035446 secs] 178044K->38258K(506816K), 0.0037163 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2020-11-19T14:56:50.774-0800: 64.931: [GC (Allocation Failure) 2020-11-19T14:56:50.774-0800: 64.931: [DefNew: 140118K->338K(157248K), 0.0035831 secs] 178034K->38258K(506816K), 0.0038139 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2020-11-19T14:56:50.851-0800: 65.008: [GC (Allocation Failure) 2020-11-19T14:56:50.851-0800: 65.008: [DefNew: 140114K->351K(157248K), 0.0036986 secs] 178034K->38271K(506816K), 0.0038371 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2020-11-19T14:56:50.939-0800: 65.097: [GC (Allocation Failure) 2020-11-19T14:56:50.939-0800: 65.097: [DefNew: 140127K->313K(157248K), 0.0032903 secs] 178047K->38233K(506816K), 0.0034283 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-11-19T14:56:51.015-0800: 65.172: [GC (Allocation Failure) 2020-11-19T14:56:51.015-0800: 65.172: [DefNew: 140089K->344K(157248K), 0.0029113 secs] 178009K->38264K(506816K), 0.0030375 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-11-19T14:56:51.088-0800: 65.245: [GC (Allocation Failure) 2020-11-19T14:56:51.088-0800: 65.245: [DefNew: 140120K->332K(157248K), 0.0028739 secs] 178040K->38252K(506816K), 0.0029924 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-11-19T14:56:51.152-0800: 65.310: [GC (Allocation Failure) 2020-11-19T14:56:51.152-0800: 65.310: [DefNew: 140108K->317K(157248K), 0.0028411 secs] 178028K->38237K(506816K), 0.0030555 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-11-19T14:56:51.221-0800: 65.378: [GC (Allocation Failure) 2020-11-19T14:56:51.221-0800: 65.378: [DefNew: 140093K->329K(157248K), 0.0027400 secs] 178013K->38249K(506816K), 0.0028391 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-11-19T14:56:51.301-0800: 65.459: [GC (Allocation Failure) 2020-11-19T14:56:51.301-0800: 65.459: [DefNew: 140105K->347K(157248K), 0.0027734 secs] 178025K->38267K(506816K), 0.0028754 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-11-19T14:56:51.375-0800: 65.533: [GC (Allocation Failure) 2020-11-19T14:56:51.376-0800: 65.533: [DefNew: 140123K->333K(157248K), 0.0030058 secs] 178043K->38253K(506816K), 0.0031268 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-11-19T14:56:51.449-0800: 65.607: [GC (Allocation Failure) 2020-11-19T14:56:51.449-0800: 65.607: [DefNew: 140109K->307K(157248K), 0.0027246 secs] 178029K->38227K(506816K), 0.0028360 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-11-19T14:56:51.526-0800: 65.684: [GC (Allocation Failure) 2020-11-19T14:56:51.526-0800: 65.684: [DefNew: 140083K->340K(157248K), 0.0025806 secs] 178003K->38260K(506816K), 0.0026991 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-11-19T14:56:51.608-0800: 65.766: [GC (Allocation Failure) 2020-11-19T14:56:51.608-0800: 65.766: [DefNew: 140116K->339K(157248K), 0.0032072 secs] 178036K->38259K(506816K), 0.0033523 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-11-19T14:56:51.673-0800: 65.831: [GC (Allocation Failure) 2020-11-19T14:56:51.673-0800: 65.831: [DefNew: 140115K->324K(157248K), 0.0031410 secs] 178035K->38247K(506816K), 0.0033177 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-11-19T14:56:51.736-0800: 65.893: [GC (Allocation Failure) 2020-11-19T14:56:51.736-0800: 65.893: [DefNew: 140100K->326K(157248K), 0.0029285 secs] 178023K->38249K(506816K), 0.0030780 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-11-19T14:56:51.798-0800: 65.955: [GC (Allocation Failure) 2020-11-19T14:56:51.798-0800: 65.955: [DefNew: 140102K->316K(157248K), 0.0028414 secs] 178025K->38240K(506816K), 0.0029947 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-11-19T14:56:51.865-0800: 66.023: [GC (Allocation Failure) 2020-11-19T14:56:51.865-0800: 66.023: [DefNew: 140092K->334K(157248K), 0.0026427 secs] 178016K->38257K(506816K), 0.0027370 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-11-19T14:56:51.943-0800: 66.101: [GC (Allocation Failure) 2020-11-19T14:56:51.943-0800: 66.101: [DefNew: 140110K->350K(157248K), 0.0026761 secs] 178033K->38275K(506816K), 0.0028130 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-11-19T14:56:52.025-0800: 66.182: [GC (Allocation Failure) 2020-11-19T14:56:52.025-0800: 66.182: [DefNew: 140126K->349K(157248K), 0.0056891 secs] 178051K->38274K(506816K), 0.0060310 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-11-19T14:56:52.131-0800: 66.289: [GC (Allocation Failure) 2020-11-19T14:56:52.131-0800: 66.289: [DefNew: 140125K->326K(157248K), 0.0030427 secs] 178050K->38251K(506816K), 0.0031979 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-11-19T14:56:52.199-0800: 66.356: [GC (Allocation Failure) 2020-11-19T14:56:52.199-0800: 66.356: [DefNew: 140102K->318K(157248K), 0.0028667 secs] 178027K->38243K(506816K), 0.0029850 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-11-19T14:56:52.267-0800: 66.424: [GC (Allocation Failure) 2020-11-19T14:56:52.267-0800: 66.424: [DefNew: 140094K->326K(157248K), 0.0026337 secs] 178019K->38252K(506816K), 0.0027358 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-11-19T14:56:52.341-0800: 66.499: [GC (Allocation Failure) 2020-11-19T14:56:52.341-0800: 66.499: [DefNew: 140102K->356K(157248K), 0.0025168 secs] 178028K->38281K(506816K), 0.0025913 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
