Java HotSpot(TM) 64-Bit Server VM (25.261-b12) for bsd-amd64 JRE (1.8.0_261-b12), built on Jun 18 2020 06:38:55 by "java_re" with gcc 4.2.1 Compatible Apple LLVM 10.0.0 (clang-1000.11.45.5)
Memory: 4k page, physical 16777216k(1709876k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=4294967296 -XX:MaxHeapSize=4294967296 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseSerialGC 
2020-11-19T15:49:14.039-0800: 1.221: [Full GC (Metadata GC Threshold) 2020-11-19T15:49:14.039-0800: 1.221: [Tenured: 0K->11035K(2796224K), 0.0598552 secs] 335559K->11035K(4054528K), [Metaspace: 20159K->20159K(1067008K)], 0.0599574 secs] [Times: user=0.06 sys=0.00, real=0.06 secs] 
2020-11-19T15:49:28.586-0800: 15.769: [GC (Allocation Failure) 2020-11-19T15:49:28.586-0800: 15.769: [DefNew: 1118528K->12471K(1258304K), 0.0265008 secs] 1129563K->23506K(4054528K), 0.0266230 secs] [Times: user=0.02 sys=0.00, real=0.03 secs] 
2020-11-19T15:49:42.860-0800: 30.042: [GC (Allocation Failure) 2020-11-19T15:49:42.860-0800: 30.043: [DefNew: 1118937K->384K(1258304K), 0.0029588 secs] 1159182K->40632K(4054528K), 0.0030427 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-11-19T15:49:43.414-0800: 30.597: [GC (Allocation Failure) 2020-11-19T15:49:43.414-0800: 30.597: [DefNew: 1118912K->384K(1258304K), 0.0031065 secs] 1159160K->40632K(4054528K), 0.0031944 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-11-19T15:49:43.915-0800: 31.097: [GC (Allocation Failure) 2020-11-19T15:49:43.915-0800: 31.097: [DefNew: 1118912K->338K(1258304K), 0.0029313 secs] 1159160K->40587K(4054528K), 0.0030167 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-11-19T15:49:44.468-0800: 31.650: [GC (Allocation Failure) 2020-11-19T15:49:44.468-0800: 31.650: [DefNew: 1118866K->412K(1258304K), 0.0029997 secs] 1159115K->40662K(4054528K), 0.0030814 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-11-19T15:49:44.981-0800: 32.164: [GC (Allocation Failure) 2020-11-19T15:49:44.981-0800: 32.164: [DefNew: 1118940K->312K(1258304K), 0.0029514 secs] 1159190K->40561K(4054528K), 0.0030446 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-11-19T15:49:45.493-0800: 32.675: [GC (Allocation Failure) 2020-11-19T15:49:45.493-0800: 32.675: [DefNew: 1118840K->408K(1258304K), 0.0031281 secs] 1159089K->40658K(4054528K), 0.0032322 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-11-19T15:49:46.003-0800: 33.185: [GC (Allocation Failure) 2020-11-19T15:49:46.003-0800: 33.185: [DefNew: 1118936K->349K(1258304K), 0.0028408 secs] 1159186K->40599K(4054528K), 0.0029378 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-11-19T15:49:46.514-0800: 33.697: [GC (Allocation Failure) 2020-11-19T15:49:46.515-0800: 33.697: [DefNew: 1118877K->348K(1258304K), 0.0029329 secs] 1159127K->40598K(4054528K), 0.0030222 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-11-19T15:49:47.001-0800: 34.184: [GC (Allocation Failure) 2020-11-19T15:49:47.001-0800: 34.184: [DefNew: 1118876K->389K(1258304K), 0.0029684 secs] 1159126K->40647K(4054528K), 0.0030524 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-11-19T15:50:02.778-0800: 49.961: [GC (Allocation Failure) 2020-11-19T15:50:02.778-0800: 49.961: [DefNew: 1118917K->275K(1258304K), 0.0026199 secs] 1159175K->40533K(4054528K), 0.0027113 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-11-19T15:50:04.135-0800: 51.317: [GC (Allocation Failure) 2020-11-19T15:50:04.135-0800: 51.317: [DefNew: 1118803K->265K(1258304K), 0.0023220 secs] 1159061K->40527K(4054528K), 0.0024037 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-11-19T15:50:05.363-0800: 52.546: [GC (Allocation Failure) 2020-11-19T15:50:05.363-0800: 52.546: [DefNew: 1118793K->277K(1258304K), 0.0023295 secs] 1159055K->40539K(4054528K), 0.0024166 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-11-19T15:50:06.683-0800: 53.866: [GC (Allocation Failure) 2020-11-19T15:50:06.683-0800: 53.866: [DefNew: 1118805K->274K(1258304K), 0.0024982 secs] 1159067K->40537K(4054528K), 0.0025890 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-11-19T15:50:07.262-0800: 54.444: [GC (Allocation Failure) 2020-11-19T15:50:07.262-0800: 54.444: [DefNew: 1118802K->328K(1258304K), 0.0031035 secs] 1159065K->40591K(4054528K), 0.0032699 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-11-19T15:50:08.549-0800: 55.731: [GC (Allocation Failure) 2020-11-19T15:50:08.549-0800: 55.731: [DefNew: 1118856K->302K(1258304K), 0.0032157 secs] 1159119K->40566K(4054528K), 0.0033053 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-11-19T15:50:09.106-0800: 56.289: [GC (Allocation Failure) 2020-11-19T15:50:09.106-0800: 56.289: [DefNew: 1118830K->423K(1258304K), 0.0028172 secs] 1159094K->40687K(4054528K), 0.0029953 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-11-19T15:50:10.182-0800: 57.364: [GC (Allocation Failure) 2020-11-19T15:50:10.182-0800: 57.364: [DefNew: 1118951K->395K(1258304K), 0.0029001 secs] 1159215K->40660K(4054528K), 0.0029900 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-11-19T15:50:10.728-0800: 57.910: [GC (Allocation Failure) 2020-11-19T15:50:10.728-0800: 57.910: [DefNew: 1118923K->392K(1258304K), 0.0026802 secs] 1159188K->40657K(4054528K), 0.0027656 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-11-19T15:50:11.247-0800: 58.429: [GC (Allocation Failure) 2020-11-19T15:50:11.247-0800: 58.429: [DefNew: 1118920K->308K(1258304K), 0.0028444 secs] 1159185K->40573K(4054528K), 0.0029324 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-11-19T15:50:12.890-0800: 60.072: [GC (Allocation Failure) 2020-11-19T15:50:12.890-0800: 60.072: [DefNew: 1118836K->300K(1258304K), 0.0026462 secs] 1159101K->40565K(4054528K), 0.0027601 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-11-19T15:50:13.418-0800: 60.601: [GC (Allocation Failure) 2020-11-19T15:50:13.418-0800: 60.601: [DefNew: 1118828K->387K(1258304K), 0.0027057 secs] 1159093K->40652K(4054528K), 0.0027950 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-11-19T15:50:14.445-0800: 61.627: [GC (Allocation Failure) 2020-11-19T15:50:14.445-0800: 61.627: [DefNew: 1118915K->350K(1258304K), 0.0027169 secs] 1159180K->40615K(4054528K), 0.0028045 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-11-19T15:50:14.989-0800: 62.172: [GC (Allocation Failure) 2020-11-19T15:50:14.989-0800: 62.172: [DefNew: 1118878K->336K(1258304K), 0.0026159 secs] 1159143K->40601K(4054528K), 0.0027004 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-11-19T15:50:15.998-0800: 63.180: [GC (Allocation Failure) 2020-11-19T15:50:15.998-0800: 63.180: [DefNew: 1118864K->321K(1258304K), 0.0026901 secs] 1159129K->40586K(4054528K), 0.0027921 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-11-19T15:50:16.535-0800: 63.717: [GC (Allocation Failure) 2020-11-19T15:50:16.535-0800: 63.717: [DefNew: 1118849K->330K(1258304K), 0.0026955 secs] 1159114K->40597K(4054528K), 0.0027873 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-11-19T15:50:17.557-0800: 64.740: [GC (Allocation Failure) 2020-11-19T15:50:17.557-0800: 64.740: [DefNew: 1118858K->350K(1258304K), 0.0025806 secs] 1159125K->40617K(4054528K), 0.0026561 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-11-19T15:50:18.088-0800: 65.271: [GC (Allocation Failure) 2020-11-19T15:50:18.088-0800: 65.271: [DefNew: 1118878K->380K(1258304K), 0.0027457 secs] 1159145K->40647K(4054528K), 0.0028276 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-11-19T15:50:18.877-0800: 66.059: [GC (Allocation Failure) 2020-11-19T15:50:18.877-0800: 66.059: [DefNew: 1118908K->366K(1258304K), 0.0028382 secs] 1159175K->40633K(4054528K), 0.0029221 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-11-19T15:50:19.417-0800: 66.599: [GC (Allocation Failure) 2020-11-19T15:50:19.417-0800: 66.599: [DefNew: 1118894K->371K(1258304K), 0.0025815 secs] 1159161K->40637K(4054528K), 0.0026638 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-11-19T15:50:19.958-0800: 67.141: [GC (Allocation Failure) 2020-11-19T15:50:19.958-0800: 67.141: [DefNew: 1118899K->339K(1258304K), 0.0027991 secs] 1159165K->40606K(4054528K), 0.0029429 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-11-19T15:50:20.485-0800: 67.667: [GC (Allocation Failure) 2020-11-19T15:50:20.485-0800: 67.667: [DefNew: 1118867K->314K(1258304K), 0.0030531 secs] 1159134K->40580K(4054528K), 0.0032059 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-11-19T15:50:21.039-0800: 68.221: [GC (Allocation Failure) 2020-11-19T15:50:21.039-0800: 68.221: [DefNew: 1118842K->355K(1258304K), 0.0028672 secs] 1159108K->40621K(4054528K), 0.0029525 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-11-19T15:50:21.571-0800: 68.753: [GC (Allocation Failure) 2020-11-19T15:50:21.571-0800: 68.753: [DefNew: 1118883K->356K(1258304K), 0.0028879 secs] 1159149K->40622K(4054528K), 0.0029987 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-11-19T15:50:22.100-0800: 69.282: [GC (Allocation Failure) 2020-11-19T15:50:22.100-0800: 69.283: [DefNew: 1118884K->392K(1258304K), 0.0024655 secs] 1159150K->40658K(4054528K), 0.0025328 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-11-19T15:50:22.628-0800: 69.811: [GC (Allocation Failure) 2020-11-19T15:50:22.628-0800: 69.811: [DefNew: 1118920K->375K(1258304K), 0.0025536 secs] 1159186K->40642K(4054528K), 0.0026281 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-11-19T15:50:23.146-0800: 70.328: [GC (Allocation Failure) 2020-11-19T15:50:23.146-0800: 70.328: [DefNew: 1118903K->329K(1258304K), 0.0024746 secs] 1159170K->40595K(4054528K), 0.0025486 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-11-19T15:50:23.651-0800: 70.833: [GC (Allocation Failure) 2020-11-19T15:50:23.651-0800: 70.833: [DefNew: 1118857K->362K(1258304K), 0.0025774 secs] 1159123K->40629K(4054528K), 0.0026719 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-11-19T15:50:24.192-0800: 71.374: [GC (Allocation Failure) 2020-11-19T15:50:24.192-0800: 71.375: [DefNew: 1118890K->395K(1258304K), 0.0029600 secs] 1159157K->40662K(4054528K), 0.0030708 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-11-19T15:50:24.704-0800: 71.886: [GC (Allocation Failure) 2020-11-19T15:50:24.704-0800: 71.886: [DefNew: 1118923K->377K(1258304K), 0.0029225 secs] 1159190K->40644K(4054528K), 0.0030273 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-11-19T15:50:25.287-0800: 72.469: [GC (Allocation Failure) 2020-11-19T15:50:25.287-0800: 72.470: [DefNew: 1118905K->288K(1258304K), 0.0028414 secs] 1159172K->40555K(4054528K), 0.0029336 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-11-19T15:50:36.449-0800: 83.631: [GC (Allocation Failure) 2020-11-19T15:50:36.449-0800: 83.631: [DefNew: 1118816K->374K(1258304K), 0.0028180 secs] 1159083K->40641K(4054528K), 0.0029212 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-11-19T15:50:38.897-0800: 86.080: [GC (Allocation Failure) 2020-11-19T15:50:38.898-0800: 86.080: [DefNew: 1118902K->346K(1258304K), 0.0025552 secs] 1159169K->40613K(4054528K), 0.0026388 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-11-19T15:50:40.423-0800: 87.605: [GC (Allocation Failure) 2020-11-19T15:50:40.423-0800: 87.605: [DefNew: 1118874K->370K(1258304K), 0.0025875 secs] 1159141K->40637K(4054528K), 0.0026686 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-11-19T15:50:41.651-0800: 88.833: [GC (Allocation Failure) 2020-11-19T15:50:41.651-0800: 88.833: [DefNew: 1118898K->391K(1258304K), 0.0027430 secs] 1159165K->40658K(4054528K), 0.0028188 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-11-19T15:50:43.206-0800: 90.388: [GC (Allocation Failure) 2020-11-19T15:50:43.206-0800: 90.388: [DefNew: 1118919K->331K(1258304K), 0.0026464 secs] 1159186K->40598K(4054528K), 0.0027395 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-11-19T15:50:43.718-0800: 90.900: [GC (Allocation Failure) 2020-11-19T15:50:43.718-0800: 90.900: [DefNew: 1118859K->380K(1258304K), 0.0025998 secs] 1159126K->40647K(4054528K), 0.0026787 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-11-19T15:50:45.417-0800: 92.599: [GC (Allocation Failure) 2020-11-19T15:50:45.417-0800: 92.599: [DefNew: 1118908K->333K(1258304K), 0.0025915 secs] 1159175K->40600K(4054528K), 0.0026739 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-11-19T15:50:45.887-0800: 93.069: [GC (Allocation Failure) 2020-11-19T15:50:45.887-0800: 93.069: [DefNew: 1118861K->378K(1258304K), 0.0027953 secs] 1159128K->40645K(4054528K), 0.0028795 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-11-19T15:50:47.044-0800: 94.226: [GC (Allocation Failure) 2020-11-19T15:50:47.044-0800: 94.226: [DefNew: 1118906K->349K(1258304K), 0.0025718 secs] 1159173K->40621K(4054528K), 0.0026496 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-11-19T15:50:47.572-0800: 94.754: [GC (Allocation Failure) 2020-11-19T15:50:47.572-0800: 94.754: [DefNew: 1118877K->325K(1258304K), 0.0027158 secs] 1159149K->40597K(4054528K), 0.0027953 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-11-19T15:50:48.678-0800: 95.860: [GC (Allocation Failure) 2020-11-19T15:50:48.678-0800: 95.860: [DefNew: 1118853K->268K(1258304K), 0.0028756 secs] 1159125K->40542K(4054528K), 0.0029519 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-11-19T15:50:50.017-0800: 97.199: [GC (Allocation Failure) 2020-11-19T15:50:50.017-0800: 97.199: [DefNew: 1118796K->350K(1258304K), 0.0025583 secs] 1159070K->40623K(4054528K), 0.0026311 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-11-19T15:50:51.270-0800: 98.452: [GC (Allocation Failure) 2020-11-19T15:50:51.270-0800: 98.452: [DefNew: 1118878K->371K(1258304K), 0.0029079 secs] 1159151K->40644K(4054528K), 0.0029818 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-11-19T15:50:52.669-0800: 99.851: [GC (Allocation Failure) 2020-11-19T15:50:52.669-0800: 99.851: [DefNew: 1118899K->314K(1258304K), 0.0029863 secs] 1159172K->40587K(4054528K), 0.0030603 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-11-19T15:50:53.145-0800: 100.327: [GC (Allocation Failure) 2020-11-19T15:50:53.145-0800: 100.327: [DefNew: 1118842K->376K(1258304K), 0.0026732 secs] 1159115K->40649K(4054528K), 0.0027520 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-11-19T15:50:54.308-0800: 101.490: [GC (Allocation Failure) 2020-11-19T15:50:54.308-0800: 101.490: [DefNew: 1118904K->354K(1258304K), 0.0027228 secs] 1159177K->40630K(4054528K), 0.0028902 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-11-19T15:50:54.802-0800: 101.985: [GC (Allocation Failure) 2020-11-19T15:50:54.802-0800: 101.985: [DefNew: 1118882K->339K(1258304K), 0.0026514 secs] 1159158K->40615K(4054528K), 0.0027611 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-11-19T15:50:55.896-0800: 103.078: [GC (Allocation Failure) 2020-11-19T15:50:55.896-0800: 103.078: [DefNew: 1118867K->375K(1258304K), 0.0027904 secs] 1159143K->40651K(4054528K), 0.0029032 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-11-19T15:50:56.446-0800: 103.628: [GC (Allocation Failure) 2020-11-19T15:50:56.446-0800: 103.628: [DefNew: 1118903K->342K(1258304K), 0.0028345 secs] 1159179K->40618K(4054528K), 0.0029436 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-11-19T15:50:57.440-0800: 104.622: [GC (Allocation Failure) 2020-11-19T15:50:57.440-0800: 104.622: [DefNew: 1118870K->354K(1258304K), 0.0028718 secs] 1159146K->40630K(4054528K), 0.0029776 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-11-19T15:50:57.963-0800: 105.145: [GC (Allocation Failure) 2020-11-19T15:50:57.963-0800: 105.145: [DefNew: 1118882K->331K(1258304K), 0.0026354 secs] 1159158K->40608K(4054528K), 0.0027193 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-11-19T15:50:58.488-0800: 105.671: [GC (Allocation Failure) 2020-11-19T15:50:58.488-0800: 105.671: [DefNew: 1118859K->336K(1258304K), 0.0026869 secs] 1159136K->40612K(4054528K), 0.0027704 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-11-19T15:50:58.985-0800: 106.167: [GC (Allocation Failure) 2020-11-19T15:50:58.985-0800: 106.167: [DefNew: 1118864K->297K(1258304K), 0.0026723 secs] 1159140K->40573K(4054528K), 0.0027717 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-11-19T15:50:59.538-0800: 106.720: [GC (Allocation Failure) 2020-11-19T15:50:59.538-0800: 106.721: [DefNew: 1118825K->359K(1258304K), 0.0026497 secs] 1159101K->40635K(4054528K), 0.0027372 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-11-19T15:51:00.051-0800: 107.233: [GC (Allocation Failure) 2020-11-19T15:51:00.051-0800: 107.233: [DefNew: 1118887K->328K(1258304K), 0.0027063 secs] 1159163K->40605K(4054528K), 0.0027867 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-11-19T15:51:00.574-0800: 107.756: [GC (Allocation Failure) 2020-11-19T15:51:00.574-0800: 107.756: [DefNew: 1118856K->331K(1258304K), 0.0028286 secs] 1159133K->40607K(4054528K), 0.0029097 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
